TEMP,DO,pH,CONDUCTIVITY,BOD
29.2,6.4,8.1,735,3.4
24.5,6,8,270,3.1
25.8,5.5,7.8,355,4.2
24.8,5.5,7.8,371,5.6
25.7,5.7,7.9,294,3.2
25,4.5,7.5,513,12.6
24.8,5.2,7.7,475,10.3
26.3,5.6,7.7,385,3.8
26.5,5.2,7.8,410,5.2
26,6.5,7.8,178,2.5
29.2,6.2,7.9,749,3.5
29.5,6.4,8,834,4.7
30.2,6.2,8,925,4.2
26.7,6.5,8,730,4
27.2,7,7.9,637,4.7
29.7,6.4,8,656,3.6
26,6.6,8.1,601,3.2
28,5.5,8.1,826,1.7
31,6.9,9,526,12
30,5.7,8.5,575,13
30.5,3.2,8.8,803,15
30.5,6.7,9,531,12.5
29,4.4,8.5,656,13
30,6.1,8.4,418,6.5
29.5,6.6,8.2,421,4
29.5,4.1,9.1,518,16.5
20,6,8.1,443,0.3
20.2,5.6,8,462,0.8
19.8,6.1,7.9,666,1.8
26.6,5.8,6.9,290,1.2
27,6.2,7.7,380,1.2
26.6,6.1,7.4,480,1.3
26.8,5.9,7,315,1.2
17.5,8.5,8.1,NA,0.7
16.3,8.8,8.1,NA,0.7
16.7,8.1,8,NA,1
17.3,8.4,8.1,NA,1
17,8.7,8.1,NA,0.9
17,8.2,8,NA,1.1
17.2,8.7,7.7,NA,1.1
21,6.9,7.8,NA,5.2
24.4,5.4,7.5,NA,5.3
18.7,7.7,7.7,NA,2.1
23,9,7.4,242,2.5
23,8,7.4,310,2.7
22,8.2,7.5,293,2.6
23,7.8,7.4,320,3.1
23,7.3,7.5,277,1.4
26.9,7.9,7.9,288,2.9
26.9,7.3,7.9,276,3.2
27,7.9,8.2,290,3
27,7.5,8.2,307,3.4
27,6.3,7.7,430,5.5
22.1,8,7.8,213,3.7
22.1,8.2,7.8,209,3.6
24.4,8.7,8.3,385,3.6
24.5,8.4,8.3,382,3.9
24.4,8.5,8.3,404,4.2
22.4,8.4,7.7,290,2.5
23.8,8.4,7.6,299,2.6
22.5,8.3,8.2,338,2.9
22.5,7.8,8.5,385,4.5
22.7,7.7,8.5,369,3.9
17,8.6,8,290,1.8
24.5,8.4,8.1,371,2.5
24.9,8.1,8.1,376,2.7
24.5,8.1,8.1,376,2.3
22.3,8.2,8.1,270,2.2
23.8,8.3,8.2,311,2.5
24.7,7.8,7.9,402,2.8
24.9,7.9,8,402,2.7
24.7,7.3,7.7,452,2.5
24.4,8.1,8,386,2.3
24.1,7.8,7.9,277,2.3
24,7.7,7.8,295,2.6
23.9,7.6,7.8,268,2.4
24,7.7,7.8,280,2.5
24.4,7.7,7.8,276,2.6
23.4,7.8,7.9,265,2.7
24.5,8.2,8.1,352,2.5
24.1,8.1,8.1,375,2.4
23.4,7.8,7.9,260,2.2
23.8,7.8,7.9,267,2.3
23.9,7.8,7.9,270,2.3
23.9,7.7,7.9,262,2.4
24.5,8,8,377,2.4
22.5,7.7,7.9,292,2.3
26.5,7.4,7.9,304,4.2
27.4,7.4,7.9,353,3.3
28.3,6.9,8,312,2.8
27,6.7,7.8,315,3.4
27.3,6,7.9,323,3.1
26.5,6.7,8,319,4.2
26.5,6.3,8,314,3.6
26.4,6.1,8.1,322,3.2
27.1,6.3,8.1,368,3.4
26.4,6.9,8,1900,3.7
22.3,7.2,7.1,216,1.5
21.8,7.7,7.2,256,1.4
25.1,6.9,7,273,1.5
24.3,7.5,7,298,1.3
25.4,7.9,7.2,236,1.4
27.7,6,7.3,295,1.1
27,8.1,7.6,210,0.9
25.8,7.3,7.1,168,1.6
27.3,7.1,7.2,289,1.6
28.2,5.1,7,253,1.5
23.1,6.8,8.1,160,3.1
24.1,6.8,7.4,449,2.9
23.8,6,8.2,262,5.1
25,6.7,7.6,441,2.9
23.7,7,7.5,711,3
24,7,7.5,400,2.8
20.8,6.1,8.4,551,5.6
22,6.2,8.3,458,4.6
22.7,6.1,8.2,413,5.5
29,7.5,8,685,2.1
28,7.5,8,808,1.8
29.3,5.9,8.3,521,1.5
29.4,7.2,8.3,916,1.9
29.5,7.1,8.2,718,1.9
29.2,6.2,8.3,513,1.4
17.6,5.3,8.1,874,10.5
26,6.7,8.1,791,2.6
17.2,5.6,8.1,870,9.5
28.4,5.7,8.7,1072,1.6
24.9,6.8,7.9,726,0.9
27.6,7,7.8,669,0.6
25.8,7.2,8,669,0.7
28.4,6.8,8.2,818,2.9
26,5.5,7.6,14804,0.7
19.7,6.5,8.2,NA,1.1
18.7,7.7,8.2,NA,1.3
22.3,7.7,7.5,465,1.2
23.7,7.5,7.8,331,1.5
NA,9.3,7.6,NA,2.4
NA,1.2,7.5,NA,17.2
NA,1.4,7.6,NA,17.3
25,4,7.7,196,8.3
25,3.7,7.5,273,9.2
25.3,4.5,7.5,281,7
24.8,8.1,8.2,522,2.4
NA,1.4,7.5,NA,38.2
27.4,5.4,7.7,394,1
27.7,5.8,7.7,298,1
28.7,7.1,7.9,416,3
26.7,6.3,8.2,573,2.9
27,6.9,7.3,1560,7.3
29.4,6.6,7.7,1049,4.3
26.1,4.4,7.8,467,3.8
26.2,5.7,7.9,370,2.2
26.9,6.7,7.7,78,0.4
25.3,7.2,7.5,219,1.1
25.8,7.2,7.9,299,1.4
25.7,7.2,7.9,266,1.3
25.7,5.5,7.7,282,2.3
24.7,7.4,7.7,138,0.7
24.4,8.1,7.7,108,0.7
24.6,7.5,7.7,207,1.1
26.8,7.2,7.9,161,1.9
27.3,6.3,8.1,555,1.5
27.4,7.2,7.9,304,1.8
26.8,5.9,8.1,442,0.9
27.2,6.4,8.1,481,0.9
13.2,8.9,7.1,133,0.3
17.2,7.9,7.5,295,0.6
23.3,7.7,7.7,302,1.1
23.9,7.5,7.7,348,1.4
17.4,7.9,7.3,242,0.7
21.9,8.1,7.6,508,1.1
22.8,7.9,7.6,467,1.4
10.5,9.3,6.9,82,0.2
11.2,9.3,6.9,86,0.3
12.6,9,7,163,0.3
23.6,NA,7.5,706,49.1
24.3,1.1,7.4,1499,75.6
20.1,0.8,7.4,586,24
26.8,6.4,7.6,576,2.8
25.9,7.5,7.8,361,0.6
26.9,7.4,8.3,371,0.7
27.5,6.7,8.5,218,3
24,7.1,8.1,386,3.2
26.2,7.3,7.9,515,NA
26.7,1.5,8.2,6485,NA
26.2,5.6,7.8,317,0.8
27,7.2,7.9,338,1.9
27.8,6,7.9,301,0.8
26.6,5.9,8.4,546,2
24.7,5.3,8.2,608,1.3
24.6,8.2,7.5,696,2
25.5,7.2,7.5,599,2.1
26.3,6.7,7.5,608,2.1
25.8,5.2,8.2,556,1
25.4,7.2,7.7,1165,2.6
28,0,7.3,1507,40
27,6.9,8,974,NA
26.8,7,7.8,854,NA
26.8,6.5,7.9,952,NA
25.6,5.4,8,489,0.9
26.1,5.2,8.3,587,0.9
24.4,8.1,7.5,708,1.8
26.3,5.4,7.6,607,5.2
23,8.4,7.5,811,2.1
26.8,7.6,8,345,0.6
26.8,6.6,7.8,865,3.9
23.9,6.2,7.7,404,1.2
28,5.7,8.1,388,0.8
23.2,2.4,8.2,1596,7.3
25.8,5.7,8,306,0.8
25.9,5.6,8,265,0.9
20.8,7.5,7.4,86,2
24.8,6.5,7.3,195,1.7
25.7,7.1,7.1,287,1.3
24.3,8.1,6.7,58,1.3
24,7.7,6.6,177,1.3
25,7.7,6.9,157,1.2
25.5,7.3,6.5,138,1.7
26.9,5.8,7.1,220,1.3
29,5.3,6.8,132,2.3
17.5,6.2,6.8,138,1.6
15.1,6.3,6.8,136,1
13.3,4.9,6.8,177,1.7
27.3,6.7,7.4,166,3
28.8,7.6,7.6,141,2.4
23,7.7,7,355,0.8
23.4,3,7.6,NA,33.2
15.1,7.7,7.6,229,1.4
22.6,2.8,7.1,378,18.4
23.6,0.8,6.8,550,37.5
23.3,2.4,7.2,706,35.7
23.7,1.8,7.3,801,30.4
22.3,7.9,7.1,386,6.4
26.9,6.9,8,391,4.1
22.8,NA,7.5,1859,72.1
26.9,6.2,7.9,316,5.1
22.9,8,8,305,2.6
23.3,3.3,8.4,508,36.5
26.8,7.3,13.2,237,3.7
23,7.8,8.2,298,2.9
25.8,8.7,8.1,392,2.7
25.9,8,8,454,3.3
25,2.6,7.6,568,9.5
22.7,7.7,8.2,323,3.3
22.9,7.8,8.1,306,3
20.8,7.5,8,478,3.4
21,7.1,8.1,438,2.8
20.3,9.2,7.7,187,2.7
23,7.7,8.1,488,2.9
21.6,7.5,8.1,529,3.4
23.2,8.6,8.2,260,2.2
24.5,7.6,8.1,286,2.4
24.5,7.9,8.1,281,2.3
22.6,8.1,8.1,232,1.9
19,8.2,7.6,250,2.1
23,8.3,8,252,2.2
23.2,7.7,7.8,298,2.2
22.3,8.6,8.1,238,2
23,8.4,8.1,247,1.8
23.2,7.9,8,302,2.1
23.1,16.3,8.1,269,2
23.8,8,7.4,346,2
22.4,6.5,7.5,319,3.5
23.3,4.2,7.3,418,7.1
25.6,4.3,7.1,450,30
23.3,8,8,290,2.4
24.1,4.4,7.2,370,4.7
22.1,8.1,8.1,228,1.8
18.5,8.6,8.1,338,2.1
23,7.9,7.8,319,2.2
18,8.8,8.2,340,2
22.3,5.6,7.4,330,3.5
24.8,7,7.4,184,2
23.5,7.1,7.6,211,2
24.2,7.1,7.4,215,2.1
23.7,7.8,7.8,326,2.4
20.9,5.4,7.5,404,3.3
23.7,7.7,7.8,333,2.3
25.2,4.5,7.2,289,5.3
18.5,7.3,7.8,288,2.8
23.3,7,7.4,251,2.5
25.6,2.1,6.9,461,8.6
23.5,7.2,7.6,299,2.2
27.8,2.1,7.2,457,11
24.5,8,7.9,276,1.7
22.6,8.4,7.9,306,2
25.6,6.9,7.9,482,1.5
22.3,7.9,7.8,300,2.2
21,8,7.9,289,2.1
27.8,2.1,7.3,432,9.7
22.7,5.8,7.2,640,6
19,4.8,7.6,1090,22
23,5.5,7.3,705,10
24,5.1,7.4,1375,23.7
24.7,5.5,7.4,745,10
25,5,7.6,975,16.3
22,4.9,7.7,1385,27.5
24.3,5,7.3,1067,19.3
23.3,5.3,7.2,970,13.3
19.5,4.9,7.7,1418,21
21.5,4.1,7.5,1015,23
20,4.8,7.4,854,17
32.6,4,6.8,370,3
23.6,7.8,7.8,376,1.3
23.9,7.7,7.7,354,1.3
24.5,7.6,7.9,344,1.6
18.1,4.4,7.1,694,41
25.1,5.9,8,401,0.9
22.3,6,7.2,106,0.8
23.7,5.6,7.9,326,1.1
23.9,6.2,8.1,592,1
25.1,6.6,7.8,95,4.9
29.6,6.9,7.9,99,5
27.4,6.8,7.7,85,5.2
27.8,6.7,7.8,80,4.9
30.6,5.1,7.3,3937,10.3
25,5.6,7.9,468,3.6
25,6.4,7.6,541,5.7
25,5.5,7.4,6166,7.7
25.3,5.3,7.7,24062,9.9
25.1,6.7,7.6,83,4.8
26.1,3.6,7.4,4424,31.3
21.4,7.2,7.7,226,3.1
27.4,5.9,7.4,268,6.4
27.1,5.4,7.5,2413,7.4
27.2,5.8,7.3,384,5.4
27.3,5.9,7.4,269,5.1
27,6,7.3,269,8.5
27.2,6.1,7.3,196,6.1
27,5.9,7.4,269,6.4
22.6,6.3,7.8,223,4.6
28.4,6.7,7.3,9293,3.5
28,6.8,7.2,170,3.1
27.6,6.8,7.3,4175,3.3
27.9,6.9,7.3,4282,3.3
28.1,6.9,7.3,5551,3.4
27.1,6.8,7.9,5390,4.9
27.6,6.6,8.1,161,4.6
27.3,6.7,8,138,5
27.8,6.7,7.8,81,4.9
28,5.9,7.7,194,5.5
28.1,6.3,7.6,186,4.6
28.6,6.6,7.6,207,4.7
26.9,6.8,7.7,85,5
23,7.1,7.4,176,2.7
23,7,7.4,178,2.7
23,7.2,7.2,180,2.7
23.8,6.8,7.4,388,2.9
24.6,6.4,7.3,467,3
24,7,7.3,360,2.9
24.4,6.7,7.5,390,2.9
26.3,3.7,7.9,453,7.5
24.4,5.8,8.1,523,5.7
28.5,5.9,7.9,524,11.1
27.1,3.3,7.7,424,13.7
27.3,5.3,8,720,7.2
27.5,5.4,8,755,7.2
29.5,6.4,8.2,991,5.3
29.1,6.2,8.2,1010,5.1
27.3,6.8,8.4,949,3.8
28.5,6.7,14.7,917,3
29.6,7.6,8.1,834,2.1
29.2,6.4,8.4,874,3
29.8,5.7,7.2,189,2
29.5,6.3,6.9,179,1.7
29.7,5.8,6.9,64,3.8
29.5,5.8,7.3,83,1.9
30,5.5,7.4,81,1.5
29.2,6.1,6.7,308,1.4
29.6,6.4,6.7,414,1
30,6.4,7.6,305,2.2
30.1,6.3,7.6,77,2.3
27.8,7.1,7.1,176,1.2
27.9,6.7,6.4,93,1.4
29.3,7.4,6.8,121,1.7
29.2,6.9,7,620,1.1
30,6,7.5,72,1.6
29,7.3,7,247,1.5
29.1,7.3,7,188,1
28.7,7,6.9,224,1.2
28.7,7.3,6.7,144,1.5
29.5,5.3,6.8,319,1.8
29,6.3,6.4,79,1.6
29.4,5.4,7.6,39,1.4
28.3,2.2,6.5,322,4.7
30.1,5.2,7.1,192,2.6
30.3,5.6,7.5,282,1.8
30.5,5.5,7.4,275,1.5
29.1,7.3,6.7,55,1.4
30.1,6.5,7.5,415,2
29.2,7.2,6.3,100,1.5
24.5,7.6,7.5,NA,1.4
25,7.4,7.5,NA,1.7
26.3,6.6,7.9,1610,4.7
29.1,5.8,8.2,498,1.3
29.6,5.2,8.2,555,1.6
28.5,6.3,8.4,451,0.8
28.3,6.6,8.4,427,1
27.9,7,7.8,543,2.3
17.4,5.1,7.9,400,10.9
27,6,8.3,430,8
26.1,5.1,8.1,369,11.3
24.9,6,8.2,403,8.9
23.9,6.2,8.2,458,8.9
23.4,5.1,8.2,577,10.7
24.4,5.4,8.1,678,10.6
23.7,5.7,8.2,498,8.9
22.7,7.4,7.4,450,2.2
21.4,7.3,8,386,2.3
23,7.7,8.1,292,1.5
33.3,4.8,8.3,482,10.8
28.1,5.9,8.1,341,9.1
27.3,5.3,8.2,273,9.6
25.1,6.2,8.2,393,9.1
24.3,5.3,8.2,388,10.6
24.1,5.7,8.2,366,8.6
24.1,5.5,8.2,607,10.4
23.7,7.4,7.7,403,2.1
33.8,4.8,8.2,477,10.5
24.4,5.5,8.2,534,10.1
24.9,5.1,8.2,523,11.1
26.3,4.7,8.4,940,15.1
23.2,4.2,8.4,685,13
31.6,5.1,8.3,435,9.7
21.6,6.9,7.5,469,0.8
21,7.6,7.6,207,NA
27.6,6.5,7.7,1127,5.7
22.1,5.2,7.9,306,4.5
21.6,4.7,7.9,262,3.4
21.9,5.5,8,247,3.7
22.7,5.4,8.1,244,3.6
21.3,4.9,7.9,272,3.4
25,5.8,8.3,506,8.5
24.6,5.1,8.3,534,9.5
25.3,4.9,8.4,966,12.8
31.2,5.2,8.3,432,9.8
31.1,4.7,8.2,432,11.2
28.9,7,8,736,1.5
27.5,7.1,7.9,447,1.5
27.5,6.8,7.4,237,4.5
28.5,6.6,7.7,371,1.2
28.5,6.9,8,1004,3.3
27,7.1,7.9,1017,4
25.8,7.2,7.9,286,2.4
26.1,7,8,415,2.9
29.9,7.2,7.9,613,1.9
27,6.5,7.9,536,6
26.9,6.5,7.9,398,4
26.5,6.7,8,383,3.6
29.8,7.2,8.1,448,1.9
26.1,7.2,7.9,313,2.7
26.2,7.2,7.9,290,2.9
27.7,7.1,8.1,956,2.2
27,6.9,8.2,999,3
27.6,6,7.8,166,3.5
28.5,6.4,8,219,3.3
21.8,5.5,13.7,223,1
29.5,5.8,7.7,245,4.2
28.8,6,7.8,226,3.3
29.6,6.5,8,154,2
21.5,5.5,7.4,185,1
17,6,8,416,4.3
17,0,7.4,1408,59
17.2,0.2,7.5,1255,69
28.6,5.4,8.2,1062,2.1
25.5,6.9,8,838,0.9
24,6.6,8.3,905,0.7
29.1,6.9,8.3,596,2.6
29,6.8,8.4,575,2.6
28.3,4.8,7.9,1868,5.6
27,6.8,7.8,648,3.6
27.3,7,8.1,734,1.3
31.6,7.3,7.2,46,1.2
30.8,7.1,6.7,48,1.4
30.2,7.4,6.9,80,0.8
29.7,4.1,6.7,141,2
29.1,2.7,6.4,137,2.2
31.6,5.9,6.6,110,2.7
30.3,1.3,6.6,350,2.9
31.6,4.9,6.5,148,2.8
26.7,7.15,7.8,1371,14
27.6,6.5,8.6,649,21.8
29.5,7.03,8.1,320,29.5
28,7.8,8,2225,5.5
29.3,6.4,8,23125,4.8
27.8,7.2,7.7,1448,16.3
25,7.3,8.5,169,1
26,7.1,8.5,2440,1
28,5.5,8.4,NA,1
28.3,6.8,8,1870,13
28.5,7.1,7.5,2100,21
29,5.7,7.6,2980,11
NA,4.2,8.7,NA,0.3
27,3.2,8.4,NA,1
26,3.4,8.4,NA,1
25.3,4.7,7.8,NA,21
28.4,3.5,8.1,NA,9.5
26,5,7.6,NA,8
28,4.4,8,NA,1.7
29,5.9,7.8,1453,7.3
27.8,2.4,8,351,6.6
26,8.3,8.3,270,2.1
25.7,9.1,8,461,5.5
25,5.8,7.7,872,1.9
22,7.6,7.5,408,2
22,6.8,7.5,428,2.1
29.2,7.5,7.4,59,3.1
27,7.6,7.9,680,6.4
26.1,8.2,8.3,263,2.3
26.8,8.2,8.2,277,2.2
25.4,7.1,8.1,273,2.2
26.7,7.3,7.9,301,1.8
22.5,4.4,7.7,464,4.4
22.3,7.3,7.9,502,7.6
22.5,7.4,7.7,495,5
22.1,6.9,7.5,448,4.3
28,6.9,7.4,NA,2.3
28.2,6.9,7.3,NA,18.6
26.5,6.3,7.2,NA,10.3
23.8,5.3,8.2,572,1.5
23.9,4.6,8.4,1463,3.2
19.9,4.7,8.2,321,1.5
24.3,5,8.4,583,1.2
23.2,8.4,8.3,300,1
21.7,5.7,8,295,1.1
26.1,4.5,7.9,483,1.5
24.4,5,8,314,1.9
30.3,5.1,7.9,266,0.9
21.3,5,8.6,604,1.2
21.2,4.9,8.6,593,1.1
23.2,4.4,8.1,538,1.2
22.9,5.6,8.4,591,1.1
22.9,5.8,8.5,588,1.2
28.7,4.1,7.9,1133,2.3
24.3,3.5,8.9,2004,6.5
